j,Иероглиф,Земные_ветви,Месяц,сторона_тела,канал,орган,j_day,j_hour
1,子,Крыса,декабрь,левая,Sp,Селезенка,7,9
2,丑,Бык,январь,левая,Kid,Почки,10,8
3,寅,Тигр,февраль,левая,Gb,Желчный Пузырь,8,7
4,卯,Кролик,март,левая,Bl,Мочевой Пузырь,8,6
5,辰,Дракон,апрель,левая,St,Желудок,10,5
6,巳,Змея,май,правая,St,Желудок,7,4
7,午,Лошадь,июнь,правая,Bl,Мочевой Пузырь,7,9
8,未,Коза,июль,правая,Gb,Желчный Пузырь,10,8
9,申,Обезьяна,август,правая,Kid,Почки,9,7
10,酉,Петух,сентябрь,правая,Sp,Селезенка,9,6
11,戌,Собака,октябрь,правая,Liv,Печень,10,5
12,亥,Свинья,ноябрь,левая,Liv,Печень,7,4
