Лунный_день,Иероглиф,Созвездие,День_недели,Месяц,4,5,6,7,8,9,Точка_Ду_май,Название
1,角,рог,чт, ,1920,1942, ,1987,2009,2032,Du.19,Хоу-Дин
2,亢,шея,пт,фев мар, ,1943,1965,1988,2010, ,Du.18,Цян-Цзянь
3,氐,корень,сб, ,1921,1944,1966, ,2011,2033,Du.17,Нао-Ху
4,房,покои,вс, ,1922, ,1967,1989,2012,2034,Du.16,Фэн-Фу
5,心,сердце,пн,апр,1923,1945,1968,1990, ,2035,Du.15,Я-Мэнь
6,尾,хвост,вт, ,1924,1946, ,1991,2013,2036,Du.14,Да-Чжуй
7,箕,сито,ср,май, ,1947,1969,1992,2014, ,Du.13,Тао-Дао
8,斗,ковш,чт, ,1925,1948,1970, ,2015,2037,Du.12,Шэнь-Чжу
9,牛,бык,пт, ,1926, ,1971,1993,2016,2038,Du.11,Шэнь-Дао
10,女,дева,сб,июн,1927,1949,1972,1994, ,2039,Du.10,Лин-Тай
11,虛,пустота,вс, ,1928,1950, ,1995,2017,2040,Du.9,Чжи-Ян
12,危,опасность,пн,июл, ,1951,1973,1996,2018, ,Du.8,Цзинь-Шу
13,室,палата,вт, ,1929,1952,1974, ,2019,2041,Du.7,Чжун-Шу
14,壁,стена,ср, ,1930, ,1975,1997,2020,2042,Du.6,Цзи-Чжун
15,奎,бедра,чт,авг,1931,1953,1976,1998, ,2043,Du.5,Сюнь-Шу
16,婁,привязь,пт, ,1932,1954, ,1999,2021,2044,Du.4,Мин-Мэнь
17,胃,желудок,сб, , ,1955,1977,2000,2022, ,Du.3,Яо-Ян-Гуань
18,昴,плеяды,вс,сен,1933,1956,1978, ,2023,2045,Du.2,Яо-Шу
19,畢,сеть,пн, ,1934, ,1979,2001,2024,2046,Du.1,Чан-Цян
20,嘴,клюв,вт,окт,1935,1957,1980,2002, ,2047,Du.28,Инь-Цзяо
21,参,орион,ср, ,1936,1958, ,2003,2025,2048,Du.27,Дуй-Дуань
22,井,колодец,чт, , ,1959,1981,2004,2026, ,Du.26,Шуй-Гоу
23,鬼,демон,пт,ноя,1937,1960,1982, ,2027,2049,Du.25,Су-Ляо
24,柳,ива,сб, ,1938, ,1983,2005,2028,2050,Du.24,Шэнь-Тин
25,星,звезда,вс,дек,1939,1961,1984,2006, ,2051,Du.23,Шан-Син
26,張,раскрытая сеть,пн, ,1940,1962, ,2007,2029,2052,Du.22,Синь-Хуй
27,翼,крылья,вт,янв, ,1963,1985,2008,2030, ,Du.21,Цянь-Дин
28,軫,телега,ср, ,1941,1964,1986, ,2031,2053,Du.20,Бай-Хуэй
